Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION,NPI
588f6ce6-b8db-3588-8189-29db2680a313,BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM INC,461 WALNUT AVE,JAMAICA PLAIN,MA,21302331,42.3115876,-71.09800136347226,8576541550,0.0,4621,1942663851
b6398e07-4967-31a5-807f-380039a1f303,EDWARD M KENNEDY COMMUNITY HEALTH CENTER INC,19 TACOMA ST,WORCESTER,MA,16053516,42.30230485,-71.76614692511056,5088521805,0.0,1558,1609842152
faffaf6a-ee1a-3673-b0b0-421a9c249244,ACTIVATED BY WELLNESS LLC,66 WASHINGTON ST,STOUGHTON,MA,20722571,42.14415820061801,-71.10378319512402,6178719807,0.0,16527,1386194611
e09d4c49-c2ef-3b0f-9a46-3719d9219306,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,60 HOSPITAL RD,LEOMINSTER,MA,14533290,42.54031915,-71.76312990486304,9784662000,0.0,40,1013995133
77645e49-3f69-3d1d-bb93-dc65210e2fac,SOUTHCOAST HOSPITALS GROUP INC,363 HIGHLAND AVE,FALL RIVER,MA,27205246,41.7093779,-71.1460783680883,5086793131,0.0,9,1306871223
d2284f74-b6da-3a15-9791-84cdf2db18fb,EAST FALMOUTH FAMILY PRACTICE PC,331 E FALMOUTH HWY,E FALMOUTH,MA,25366039,41.57853245,-70.5617374807812,5084950704,0.0,137,1235184334
03d0392a-7361-32b3-81c9-8c8ac985be00,AMERICAN CHINESE MEDICAL CENTER PC,280 WASHINGTON ST STE 204,BROOKLINE,MA,24451922,42.33302785,-71.1193506756953,6177837333,0.0,2703,1780803726
2f4e1b5e-e2ad-3081-80f5-4521124e9d28,EVERGREEN WELLNESS CENTER  LLC,171 HIGHLAND ST APT 303,TAUNTON,MA,27804446,41.8946107,-71.11113,5083862094,0.0,733,1467063875
2936ca90-6594-357d-be14-53fe0ab84dd1,KINGSBURY PRIMARY CARE PC,11 TREMONT ST,KINGSTON,MA,23641231,42.00823215,-70.72984043580247,7815855518,0.0,32679,1902103385
e3089df2-a1db-372a-b660-30392d8c197b,PIONEER FAMILY HEALTH CARE LLC,178 N MAIN ST,SHARON,MA,20671229,42.13301625,-71.17263163492832,6176948356,0.0,1809,1740874957
42d4b607-f14d-370a-818e-40965685776c,TRINITY FAMILY MEDICINE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,23561034,42.0667665,-71.1036592,5082300155,0.0,45096,1629221965
71472d9b-aa5c-3b49-a5c3-d0eee8859015,BOURNE FAMILY MEDICINE PC,118 WATERHOUSE RD STE C,BOURNE,MA,25328305,41.7281115,-70.5861571324252,5087430899,0.0,73,1295149748
88e28a1c-aad9-36d0-832b-b579ecb95c3d,LEOMINSTER COMUNITY HEALTH CENTER,14 MANNING AVENUE,LEOMINSTER,MA,14535768,42.5253035,-71.7584413,9788470110,0.0,5714,1891953048
4cf79e95-2815-3a4c-a3b8-951fe548dd27,BERKSHIRE FAMILY PRACTICE ASSOCIATES PC,20 ELM ST,PITTSFIELD,MA,12016502,42.4458896,-73.2448206979669,4134453131,0.0,103,1952963548
65450d34-6d61-3601-b325-9d471587b016,MEDICAL HEALTHCARE SPECIALISTS P.C.,4 COURTHOUSE LN,CHELMSFORD,MA,18241731,42.62439345,-71.35881000636567,9784598400,0.0,951,1013974013
0c8cc36b-3025-37ad-b7ab-50ea3aeea5a8,SOUTH SHORE MEDICAL CENTER  INC.,143 LONGWATER DRIVE,WEYMOUTH,MA,21902432,42.2212188,-70.9391625,7817924191,0.0,2314,1669411856
3f4167a5-1477-35da-a456-fc05c8858aa7,TOTAL WELLNESS CENTERS LLC,244 MAIN STREET ANNEX,WORCESTER,MA,16023339,42.2625621,-71.8018877,4135842173,0.0,734,1770816506
75f0d4cd-dbbb-3037-b6ad-2e99665728c7,HIGUCHI MEDICAL CARE  PLLC,70 FULTON ST,BOSTON,MA,21091402,42.362439499999994,-71.05377386223965,6178435001,0.0,3093,1598366098
39104cad-5228-3e07-9b3e-3ad736b33d5d,GREATER BOSTON WELLNESS PRIMARY CARE PC,200 PROVIDENCE HWY,DEDHAM,MA,20261881,42.22214545274341,-71.18159060546684,7814610660,0.0,1487,1073090692
a3a72023-3f37-3d77-be82-62085a912993,CITY OF SPRINGFIELD,311 STATE STREET,SPRINGFIELD,MA,11051140,42.10500795,-72.58124154847081,4137876456,0.0,2477,1962531004
1311c44a-85cb-3aea-a143-e5d7892ced8b,GROVE HILL MEDICAL CENTER PC,300 KENSINGTON AVE,SPRINGFIELD,MA,11071139,42.091896,-72.559437,8602246201,0.0,9390,1255448155
817a1428-2045-3e89-9fa2-ef7d287d6fa5,GREATER LAWRENCE FAMILY HEALTH CENTER INC,70-71 N PARISH RD,LAWRENCE,MA,1843,42.690315,-71.150015,9786814769,0.0,5838,1679786784
4bf8af75-4da2-331d-b94e-9975a887face,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT ST,NANTUCKET,MA,25542799,41.27514065,-70.10108985970798,5088258100,0.0,53,1477021608
50a91b37-cb62-3883-aa31-33802f142c2d,WELLESLEY PRIMARY CARE MEDICINE  PC,65 WALNUT ST,WELLESLEY,MA,24812112,42.32473045,-71.25364984557581,7814312345,0.0,833,1750502795
9a9bf61e-44d3-32fd-a027-7138369b1716,ANCHOR MEDICAL GROUP AND WELLNESS CENTER PC,194 ROCKDALE AVE,WEYMOUTH,MA,21882519,42.2212188,-70.9391625,5089510847,0.0,2107,1245615046
f945589f-88aa-366b-9e9d-2418d091112d,CENTER FOR DIGESTIVE WELLNESS PC,105 ERDMAN WAY,LEOMINSTER,MA,14531805,42.54685255,-71.75737313871981,9785377552,0.0,1462,1346679867
643eac8e-1620-3b6a-b9f3-664b003d22cd,GIFFORD STREET WELLNESS CENTER LLC,34 GIFFORD ST,NEW BEDFORD,MA,27442610,41.6177929,-70.91890087055067,5089993126,0.0,2587,1891142154
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,18863513,42.5792583,-71.4378411,9789376000,0.0,314,1407804669
40c01d75-1542-3e0b-8e5f-78d3031beba1,PIONEER MEDICAL CENTER,505 PARADISE RD,SALEM,MA,19704267,42.485927,-70.900301,9787459449,0.0,6775,1730202367
84abfbd5-41c1-3df4-9b31-7ca93cb2309a,SKIN WELLNESS PHYSICIANS LLC,85 HERRICK ST,BEVERLY,MA,19151790,42.56415055,-70.8751357650672,9785247933,0.0,3663,1538500988
2617efb0-1afe-3c9c-afbe-2ca94f9c198c,PINNACLE HEALTHCARE SERVICES LLC,140 WOOD RD,WEYMOUTH,MA,21901338,42.2212188,-70.9391625,7818841539,0.0,2486,1942635339
93c3d861-e05d-33b9-91eb-1768470229d7,PAIN AND WELLNESS CENTER,10 CENTENNIAL DR,PEABODY,MA,19607938,42.5261827,-70.9529896,9788267230,0.0,2793,1922064112
c272e12f-e154-3fee-b05d-b7c0cab2657d,STEWARD NORWOOD HOSPITAL INC,800 WASHINGTON ST,NORWOOD,MA,20623487,42.1886973,-71.2005241,7817692950,0.0,1046,1659684348
f6a306cf-7bd6-35f4-a6b7-2d07d273914c,APPLE MEDICAL CLINIC MA INC,63 FOUNTAIN ST STE 402,FRAMINGHAM,MA,17026280,42.27595495,-71.42631150114194,5088611150,0.0,3579,1053902957
e49b692f-cccc-3cd5-93df-6db63dfc3e4a,QUINCY CENTER PRIMARY CARE PC,1250 HANCOCK ST STE 104N,QUINCY,MA,2169,42.2517569,-71.0033967,6173283998,0.0,1322,1588864763
0ddb0329-b59d-3187-874c-602c649249c8,BAYSTATE NOBLE HOSPITAL CORPORATION,115 W SILVER ST,WESTFIELD,MA,10853678,42.1178811,-72.75935246865802,4135682811,0.0,23,1245272012
5f7663da-4b19-3629-b8f2-fb07d75421d9,ESSEX COUNTY PRIMARY CARE,42 ASBURY ST,SOUTH HAMILTON,MA,19821808,42.61322825,-70.87300675048934,9782338120,0.0,1036,1174191837
bb3d48eb-0c30-34f4-8950-790fc984741b,SOUTH END COMMUNITY HEALTH CENTER INC,1601 WASHINGTON STREET,BOSTON,MA,21181951,42.3381394,-71.0748562,6174252000,0.0,1351,1558310052
bf556284-7513-3620-a10e-5393183a9a87,STEWARD ST. ANNES HOSPITAL CORPORATION,795 MIDDLE ST,FALL RIVER,MA,27211733,41.6924092,-71.16345107025307,5086745600,0.0,13,1295027134
