Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,62659.26,175479.12,1539915.3,828,0,0,0,0,0,1006,0,80,0.8762428099292496,9468
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,201696570.46,28826738.8,34501040.0,552644,0,138,0,142,0,1137707,0,32337,0.8744898536435926,3563316
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,42708.56,1680.0,16690.0,149,0,0,0,0,0,176,0,14,0.8269397646622497,1740
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,0.0,145149075.52,838313820.0,359090,0,133,0,134,0,705024,0,18946,0.910675212953062,2543640
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,12439.32,141345584.0,1117064643.0,352020,0,58,0,63,0,684479,0,18031,0.9117349407794628,2523384
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,20636021.26,120732155.96,1222836761.0,352120,0,51,0,58,0,684561,0,17983,0.9142179482859892,2515308
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,0.0,89533449.92,294128951.95,226438,0,47,0,58,0,429918,0,25115,0.923460619416494,1775952
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,0.0,89414830.86,357491337.78,226143,0,66,0,78,0,429252,0,25226,0.9230994328434524,1764936
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,11353053.12,75848135.2,445572696.26,219358,0,45,0,44,0,419962,0,24401,0.921397629281062,1686708
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.0,140820308.66,0.0,0,353314,0,288,0,301,0,678243,16796,0.9851125651871652,2508816
